"Datum" "Incidens"
2020-02-17 1
2020-02-18 0
2020-02-19 0
2020-02-20 0
2020-02-21 1
2020-02-22 1
2020-02-23 3
2020-02-24 1
2020-02-25 0
2020-02-26 1
2020-02-27 2
2020-02-28 7
2020-02-29 26
2020-03-01 4
2020-03-02 4
2020-03-03 5
2020-03-04 6
2020-03-05 13
2020-03-06 10
2020-03-07 30
2020-03-08 28
2020-03-09 31
2020-03-10 35
2020-03-11 45
2020-03-12 51
2020-03-13 56
2020-03-14 34
2020-03-15 64
2020-03-16 68
2020-03-17 74
2020-03-18 98
2020-03-19 97
2020-03-20 148
2020-03-21 87
2020-03-22 84
2020-03-23 143
2020-03-24 142
2020-03-25 174
2020-03-26 150
2020-03-27 193
2020-03-28 138
2020-03-29 148
2020-03-30 201
2020-03-31 218
2020-04-01 247
2020-04-02 187
2020-04-03 181
2020-04-04 144
2020-04-05 140
2020-04-06 204
2020-04-07 206
2020-04-08 216
2020-04-09 185
2020-04-10 139
