"Datum" "Incidens"
2020-02-17 1
2020-02-18 0
2020-02-19 0
2020-02-20 0
2020-02-21 1
2020-02-22 1
2020-02-23 3
2020-02-24 1
2020-02-25 0
2020-02-26 1
2020-02-27 2
2020-02-28 7
2020-02-29 26
2020-03-01 4
2020-03-02 4
2020-03-03 4
2020-03-04 6
2020-03-05 12
2020-03-06 10
2020-03-07 30
2020-03-08 28
2020-03-09 30
2020-03-10 34
2020-03-11 44
2020-03-12 49
2020-03-13 51
2020-03-14 33
2020-03-15 63
2020-03-16 68
2020-03-17 74
2020-03-18 96
2020-03-19 95
2020-03-20 143
2020-03-21 83
2020-03-22 81
2020-03-23 140
2020-03-24 135
2020-03-25 168
2020-03-26 147
2020-03-27 183
2020-03-28 135
2020-03-29 141
2020-03-30 190
2020-03-31 171
2020-04-01 206
2020-04-02 162
2020-04-03 156
2020-04-04 127
2020-04-05 122
2020-04-06 170
2020-04-07 183
2020-04-08 189
2020-04-09 182
2020-04-10 131
