"time" "S" "E" "I_symp" "I_asymp" "R" "Cumulative" "Incidence_reported" "Incidence_non_reported" "Datum"
48 2374549 0 1 0 0 1 0 0 2020-02-17
49 2374547.396388 1.4551980392424 0.820493411623635 0.137027991622939 0.1908925588736 2.60361200198531 0.00362372845066244 0.281709220420396 2020-02-18
50 2374545.64550489 2.79117493931748 0.67658902526446 0.487350146683621 0.399380993906541 4.35449510533363 0.00695057288810432 0.540338630899637 2020-02-19
51 2374543.36644415 4.37429452947519 0.562014317930242 1.02637743704971 0.670869568704545 6.63355585373938 0.0108928510832029 0.846811958617814 2020-02-20
52 2374540.1741115 6.51105220685969 0.472368908678071 1.79112784689943 1.0513395344324 9.82588849775493 0.0162137966719839 1.26046310663384 2020-02-21
53 2374535.58684829 9.54230039837958 0.404767424597144 2.86767649802718 1.59840738343315 14.4131517051719 0.0237621990312589 1.84727709476866 2020-02-22
54 2374528.94131107 13.9145095724459 0.357727069037054 4.39487195318252 2.39158033019164 21.0586889255792 0.0346498571706007 2.69368535311292 2020-02-23
55 2374519.29196267 20.2525985436127 0.331234712629261 6.57975056617618 3.54445351035169 30.7080373330973 0.0504329414713493 3.9206648121782 2020-02-24
56 2374505.27668365 29.450834133999 0.326984466413657 9.7243553012636 5.22114245225476 44.7233163542114 0.0733383516670171 5.70133500794063 2020-02-25
57 2374484.9288175 42.7965172442219 0.348812658907683 14.2663878960456 7.65946469757084 65.0711824968457 0.106571719412082 8.28490225004319 2020-02-26
58 2374455.41091501 62.1431476449682 0.403387515634187 20.8384212556572 11.204128578773 94.5890849949792 0.154748622566881 12.0301822882112 2020-02-27
59 2374412.6378615 90.1537942447223 0.501241770509785 30.3527581176675 16.3543443710856 137.362138503697 0.224500624883916 17.4527139329048 2020-02-28
60 2374350.74586233 130.641744282856 0.658275898416511 44.1220432184565 23.832074267663 199.254137666896 0.325323559292603 25.2907047314635 2020-02-29
61 2374261.35177975 189.041947100632 0.897901972419577 64.0290004274257 34.6793707540398 288.648220254108 0.470751515329025 36.5962969357753 2020-03-01
62 2374132.53153457 273.054665416829 1.25405645627477 92.7631620722381 50.396581484747 417.468465429265 0.679959657018378 52.8601708168696 2020-03-02
63 2373947.43421471 393.506723412002 1.77536391442087 134.146615402519 73.1370825644661 602.565785292536 0.979908899476946 76.1782721616999 2020-03-03
64 2373682.44157497 565.473476656166 2.5307873368191 193.574945712715 105.979215320017 867.558425025083 1.40813983402614 109.469012451497 2020-03-04
65 2373304.79360306 809.686902955778 3.61711778798955 278.600863026438 153.30151317356 1245.20639694342 2.01627915049772 156.745858683969 2020-03-05
66 2372769.64546702 1154.20914442671 5.168605390522 399.684046411707 221.292736747893 1780.35453297617 2.87420708514102 223.4413114299 2020-03-06
67 2372016.6239494 1636.26058862656 7.36883379616475 571.115192359373 318.63143581963 2533.37605060078 4.07460970108966 316.760799833529 2020-03-07
68 2370966.14135017 2303.93676109466 10.4645087317273 812.088696062572 457.368683941051 3583.8586498294 5.73725428743181 446.015051809561 2020-03-08
69 2369516.02622198 3217.32094763028 14.7800336630304 1147.83638600441 654.036410725981 5033.97377802292 8.01176000684404 622.835484626545 2020-03-09
70 2367539.43137941 4448.22079398678 20.7305276291521 1610.64004019435 930.977258780507 7010.56862059049 11.0769419771828 861.1232137065 2020-03-10
71 2364885.41988745 6077.49725329957 28.8292821937793 2240.41150649357 1317.84207056418 9664.58011255087 15.134159826844 1176.53196827111 2020-03-11
72 2361383.89157666 8188.90206885214 39.6839610226465 3084.39759751526 1853.12479595412 13166.1084233439 20.3919718185141 1585.27510050543 2020-03-12
73 2356856.33176928 10858.7080961336 53.9747382433241 4195.48084194053 2585.50455440375 17693.6682307208 27.0403123178229 2102.11813790446 2020-03-13
74 2351132.87874996 14141.4535638961 72.4082538032762 5628.60019496269 3574.65923738107 23417.1212500432 35.2149922081335 2737.61903992836 2020-03-14
75 2344074.31331578 18053.7925117712 95.6449837159897 7435.10497657884 4891.14421215186 30475.6866842178 44.9574833136263 3495.00183271994 2020-03-15
76 2335595.1803736 22560.2665997003 124.204701355028 9655.40557063766 6614.942754702 38954.8196263951 56.1794874149399 4367.4021988008 2020-03-16
77 2325682.35995999 27565.8341815084 158.363933616197 12311.0017759523 8832.44014893172 48867.6400400084 68.6443321774817 5336.42119360848 2020-03-17
78 2314403.30643295 32919.1820829889 198.06720967206 15397.5833730218 11631.8609013715 60146.6935670548 81.9752181282272 6372.76636677155 2020-03-18
79 2301900.54276722 38427.9678266286 242.875759972583 18881.0420601775 15097.5715859999 72649.4572327794 95.6931747839575 7439.20247749616 2020-03-19
80 2288373.08524874 43883.1428830437 291.97176419647 22697.8017587316 19303.9983452836 86176.9147512564 109.277630316599 8495.26018988804 2020-03-20
81 2274049.56758029 49086.4156746169 344.221340622172 26759.7154728435 24310.0799316315 100500.432419715 122.234799817183 9502.5525873626 2020-03-21
82 2259160.0082443 53873.9382887021 398.285031853317 30962.6545132895 30155.1139218538 115389.9917557 134.15666985618 10429.360641654 2020-03-22
83 2243912.41542407 58131.3115665566 452.752200342618 35196.9564643608 36856.564344671 130637.584575932 144.758364097112 11253.5380215022 2020-03-23
84 2228478.00585316 61798.065631944 506.2726420898 39357.6568843445 44409.9989884564 146071.994146836 153.889300691312 11963.3784702781 2020-03-24
85 2212985.54281085 64863.0695641936 557.66356348877 43352.8057277658 52790.9183336975 161564.457189147 161.521761463776 12556.7271726918 2020-03-25
86 2197523.17394447 67353.9854117843 605.979009450238 47108.8647192498 61957.9969150398 177026.826055525 167.724630339149 13038.9391758931 2020-03-26
87 2182144.87301474 69324.4723898911 650.539584286181 50573.0178767077 71857.0971343761 192405.126985263 172.631529284631 13420.4022726548 2020-03-27
88 2166878.80255176 70841.9256585683 690.928597620111 53712.8719076994 82425.4712843472 207671.197448236 176.410285463494 13714.1633730793 2020-03-28
89 2151735.61102234 71977.5460934849 726.962713851724 56514.1745055095 93595.7056648111 222814.388977658 179.238203017109 13934.0061290388 2020-03-29
90 2136715.45030398 72799.2921061851 758.649885256867 58977.54407104 105299.063633538 237834.549696021 181.284511715402 14093.0864894974 2020-03-30
91 2121813.25812366 73367.6940615497 786.141866485886 61114.7781900385 117468.127758262 252736.741876337 182.699944035624 14203.1224209741 2020-03-31
92 2107022.36094473 73733.9261979568 809.68883554573 62945.3258673342 130038.698154429 267527.639055268 183.6119338655 14274.0206539692 2020-04-01
93 2092336.68812111 73939.4770509503 829.599757259532 64493.2061810595 142951.028889618 282213.311878889 184.123795793543 14313.8128808634 2020-04-02
94 2077751.89907732 74016.8691634211 846.210555362165 65784.5339805115 156150.487223382 296798.100922678 184.316517328519 14328.7950833423 2020-04-03
95 2063265.82694388 73990.8556753059 859.860397570881 66845.6762872377 169587.780696004 311284.17305612 184.251738642429 14323.7591780842 2020-04-04
96 2048878.4693919 73879.8200655867 870.87512662389 67701.9642241635 183218.871191722 325671.530608098 183.975238202539 14302.2639903439 2020-04-05
97 2034591.74853477 73697.1260517706 879.556983623801 68376.8941089824 197004.67432085 339958.251465229 183.520294285782 14266.8965786104 2020-04-06
98 2020409.17466682 73452.3291322878 886.178766250336 68891.6733145896 210910.644120046 354140.825333176 182.910701956874 14219.5067749623 2020-04-07
99 2006335.47777863 73152.1744229213 890.982098708865 69265.085776119 224906.279923621 368214.522221372 182.163257876686 14161.4003544608 2020-04-08
100 1992376.26996208 72801.4105599638 894.177544053727 69513.5007242504 238964.641209652 382173.730037922 181.289787080694 14093.4965972259 2020-04-09
101 1978537.74904514 72403.4158279963 895.946477902482 69651.0183490825 253061.870299874 396012.250954857 180.298702159912 14016.449499408 2020-04-10
102 1964826.4663271 71960.6437177565 896.443858209388 69689.6851235808 267176.760973349 409723.533672897 179.196112787355 13930.7340279492 2020-04-11
103 1951249.11857089 71474.9868018734 895.801476023802 69639.7465187824 281290.346632424 423300.881429105 177.986731839959 13836.716562645 2020-04-12
104 1937812.40757159 70947.9979279875 894.130993338811 69509.8831671538 295385.580339925 436737.592428406 176.674426212832 13734.6977165298 2020-04-13
105 1924522.92904984 70381.0467260498 891.527065572392 69307.4536052276 309447.043553309 450027.07095016 175.262606553104 13624.9426338488 2020-04-14
106 1911387.07892293 69775.4441456286 888.070232479249 69038.719013953 323460.687685003 463162.921077065 173.754537382252 13507.7050990155 2020-04-15
